CATEGORY;URL;ANCHORTEXT
07-SCHOOL;https://areena.yle.fi/1-3371178;Pikku Kakkonen (Yle Areena)
07-SCHOOL;https://areena.yle.fi/audio/ohjelmat/57-DDRw1lBwg;YLE Audio Stories
07-SCHOOL;https://docs.google.com/document/d/120Lny9rU6dohEgISChgTIY5tEhWBKidWxzpgL_v3YTA/edit?usp=sharing;English-Homework
07-SCHOOL;https://edu.typingmaster.com/login?id=cdkcn9md3;Touch Typing Tutorial
07-SCHOOL;https://espoo.inschool.fi/;WILMA (espoo.inschool.fi)
07-SCHOOL;https://oopperabaletti.fi/en/stage24/;Opera (Stage24 Performances)
07-SCHOOL;https://oppilas.otava.fi/#/;oppilas.otava.fi
07-SCHOOL;https://www.10monkeys.com/uk/;10monkeys.com
07-SCHOOL;https://www.bingel.fi/pupil/dashboard;Bingel Online
07-SCHOOL;https://www.ellibslibrary.com/fi/collection/0?format=MP3&language=fi&audience=kids;HELMET - ELLIBS Kids Audiobooks
07-SCHOOL;https://www.hs.fi/lastenuutiset/;HS_fi (Lasten Uutiset News)
07-SCHOOL;https://www.sanomapro.fi/;SanomaPro Login
07-SCHOOL;https://www.storylineonline.net/library/;English stories by celebrities
07-SCHOOL;https://getcomics.info/?s=donald%20duck;Comics - Donald Duck
07-SCHOOL;https://www.worksheetworks.com/english/writing/handwriting/cursive-practice.html;Cursive Writing practice
07-SCHOOL;https://parenting.firstcry.com/articles/top-15-short-moral-stories-for-kids/;Cursive-short-stories
07-SCHOOL;https://downloads.concepro.com/dropbox-public-files/LCE/cursive-alphabets-lettering.jpg;Cursive-letters-alphabets
07-SCHOOL;https://downloads.concepro.com/dropbox-public-files/LCE/cursive-ornamental-practice.jpg;cursive-ornamental practice-print
07-SCHOOL;https://downloads.concepro.com/dropbox-public-files/LCE/adoria-apps/horse-breeds/list-of-horse-breeds.html:List of Horse Breeds
